OrderID,OrderDate,Region,City,Category,SalesRep,Channel,PaymentMethod,UnitPrice,Quantity,Discount,ShippingCost,CustomerAge,CustomerGender,ReturnFlag,Rating,Revenue,Profit
ORD-10000,2023-01-01 00:00:00,South,Port Harcourt,Furniture,Rep_19,In-Store,Card,1157.28,3,0.0,84.66,18.0,Male,1,5.0,3471.84,498.46
ORD-10001,2023-01-01 10:00:00,Central,Kaduna,Sports,Rep_08,Wholesale,BNPL,562.06,4,0.05,348.85,33.0,Female,0,4.0,2135.83,351.3
ORD-10002,2023-01-01 20:00:00,,Kano,Clothing,Rep_07,Wholesale,Card,50.11,5,0.0,83.06,53.0,Male,0,5.0,250.55,71.91
ORD-10003,2023-01-02 06:00:00,East,Kaduna,Furniture,Rep_16,In-Store,Card,182.77,12,0.2,72.84,58.0,Male,0,4.0,1754.59,433.48
ORD-10004,2023-01-02 16:00:00,North,Port Harcourt,Groceries,Rep_19,In-Store,Card,349.26,7,0.05,223.03,45.0,Male,0,3.0,2322.58,898.04
ORD-10005,2023-01-03 02:00:00,North,Enugu,Sports,Rep_06,In-Store,Transfer,425.3,1,0.05,768.34,49.0,Male,0,4.0,404.04,133.0
ORD-10006,2023-01-03 12:00:00,North,Benin City,Beauty,Rep_20,Wholesale,Card,190.12,1,0.0,221.09,24.0,Male,0,4.0,190.12,60.22
ORD-10007,2023-01-03 22:00:00,Central,Abuja,Electronics,Rep_27,In-Store,Card,129.05,1,0.05,186.96,25.0,Male,0,5.0,122.6,13.71
ORD-10008,2023-01-04 08:00:00,East,Benin City,Furniture,Rep_21,Online,Card,261.85,7,0.15,302.04,56.0,Female,0,5.0,1558.01,112.32
ORD-10009,2023-01-04 18:00:00,West,Benin City,Electronics,Rep_11,In-Store,Transfer,82.53,6,0.0,104.07,32.0,Male,0,1.0,495.18,125.78
ORD-10010,2023-01-05 04:00:00,North,Enugu,Groceries,Rep_05,Online,Card,734.9,17,0.0,152.63,18.0,Male,0,4.0,12493.3,982.68
ORD-10011,2023-01-05 14:00:00,Central,Kaduna,Clothing,Rep_16,Online,Card,1585.54,4,0.0,84.21,40.0,Male,0,4.0,6342.16,1240.57
ORD-10012,2023-01-06 00:00:00,West,Abuja,Clothing,Rep_07,Online,Card,363.11,8,0.25,296.87,,Female,0,4.0,2178.66,131.69
ORD-10013,2023-01-06 10:00:00,North,Lagos,Clothing,Rep_27,In-Store,Cash,193.94,5,0.0,418.36,36.0,Male,0,5.0,969.7,117.07
ORD-10014,2023-01-06 20:00:00,North,Ibadan,Furniture,Rep_05,Wholesale,Transfer,626.97,10,0.15,391.98,18.0,Male,0,1.0,5329.25,501.73
ORD-10015,2023-01-07 06:00:00,North,Enugu,Clothing,Rep_11,Online,Cash,529.5,7,0.0,102.94,18.0,Male,0,4.0,3706.5,1372.87
ORD-10016,2023-01-07 16:00:00,South,Port Harcourt,Sports,Rep_15,Online,BNPL,185.76,6,0.05,529.39,39.0,Female,0,4.0,1058.83,199.54
ORD-10017,2023-01-08 02:00:00,East,Lagos,Groceries,Rep_03,Online,BNPL,233.26,5,0.1,103.48,31.0,Female,1,3.0,1049.67,85.59
ORD-10018,2023-01-08 12:00:00,South,Ibadan,Electronics,Rep_26,In-Store,Card,133.02,7,0.0,57.01,30.0,Male,0,5.0,931.14,145.44
ORD-10019,2023-01-08 22:00:00,South,Port Harcourt,Sports,Rep_05,Online,Transfer,288.5,3,0.0,150.67,40.0,Male,0,2.0,865.5,279.66
ORD-10020,2023-01-09 08:00:00,East,Benin City,Clothing,Rep_23,Online,Transfer,329.94,1,0.0,318.73,26.0,Male,0,4.0,329.94,114.9
ORD-10021,2023-01-09 18:00:00,North,Kano,Groceries,Rep_21,Online,Transfer,112.15,1,0.0,,32.0,Male,1,4.0,112.15,10.98
ORD-10022,2023-01-10 04:00:00,South,Port Harcourt,Furniture,Rep_05,In-Store,Cash,83.54,4,0.15,365.53,30.0,Female,0,3.0,284.04,102.66
ORD-10023,2023-01-10 14:00:00,South,Abuja,Clothing,Rep_09,Online,Cash,64.97,5,0.0,695.89,46.0,Male,0,,324.85,64.39
ORD-10024,2023-01-11 00:00:00,East,Abuja,Electronics,Rep_15,In-Store,Cash,371.12,1,0.1,121.42,18.0,Male,0,5.0,334.01,107.47
ORD-10025,2023-01-11 10:00:00,West,Kano,Clothing,Rep_03,Online,Transfer,241.9,2,0.0,209.37,27.0,Female,1,5.0,483.8,154.14
ORD-10026,2023-01-11 20:00:00,North,Lagos,Beauty,Rep_29,In-Store,Card,225.07,2,0.0,90.71,48.0,Male,0,5.0,450.14,165.4
ORD-10027,2023-01-12 06:00:00,East,Ibadan,Furniture,Rep_06,Online,Card,389.37,5,0.1,156.89,,Male,0,5.0,1752.16,576.24
ORD-10028,2023-01-12 16:00:00,East,Port Harcourt,Furniture,Rep_17,In-Store,Card,99.39,2,0.05,7.78,36.0,Male,0,3.0,188.84,12.38
ORD-10029,2023-01-13 02:00:00,North,Abuja,Furniture,Rep_26,Online,Card,83.91,1,0.0,,55.0,Male,1,3.0,83.91,21.63
ORD-10030,2023-01-13 12:00:00,East,Lagos,Electronics,Rep_21,In-Store,Cash,311.4,1,0.05,188.18,37.0,Female,0,1.0,295.83,34.46
ORD-10031,2023-01-13 22:00:00,North,Kano,Groceries,Rep_08,Wholesale,Card,43.44,1,0.0,544.35,61.0,Female,0,5.0,43.44,19.03
ORD-10032,2023-01-14 08:00:00,North,Kaduna,Sports,Rep_21,Wholesale,Card,188.86,9,0.15,53.87,52.0,Male,0,5.0,143042.46079197343,220.09
ORD-10033,2023-01-14 18:00:00,Central,Enugu,Electronics,Rep_25,In-Store,Transfer,2882.6,2,0.0,585.62,27.0,Male,0,4.0,5765.2,1257.06
ORD-10034,2023-01-15 04:00:00,Central,Kaduna,Clothing,Rep_11,In-Store,Cash,63.53,7,0.0,688.51,20.0,Male,0,5.0,444.71,57.23
ORD-10035,2023-01-15 14:00:00,West,Kaduna,Clothing,Rep_06,In-Store,Transfer,159.22,5,0.1,439.93,28.0,Male,0,4.0,716.49,74.4
ORD-10036,2023-01-16 00:00:00,South,Abuja,Groceries,Rep_08,In-Store,Card,29.29,15,0.0,817.32,40.0,Female,1,2.0,439.35,127.57
ORD-10037,2023-01-16 10:00:00,North,Benin City,Beauty,Rep_10,Online,Card,193.69,2,0.0,64.04,,Male,0,3.0,387.38,95.79
ORD-10038,2023-01-16 20:00:00,West,Benin City,Electronics,Rep_24,In-Store,Transfer,1748.54,1,0.0,226.51,,Female,1,3.0,1748.54,349.47
ORD-10039,2023-01-17 06:00:00,South,Kano,Groceries,Rep_29,Online,Transfer,390.3,1,0.15,338.76,24.0,Male,0,,331.76,27.92
ORD-10040,2023-01-17 16:00:00,North,Port Harcourt,Electronics,Rep_03,Online,Card,132.45,2,0.2,317.39,26.0,Female,0,4.0,211.92,72.98
ORD-10041,2023-01-18 02:00:00,East,Benin City,Beauty,Rep_23,Online,BNPL,2167.68,6,0.1,690.75,,Female,0,5.0,11705.47,612.69
ORD-10042,2023-01-18 12:00:00,North,Kaduna,Electronics,Rep_14,Online,Transfer,42.85,1,0.05,85.03,59.0,Female,0,3.0,40.71,9.49
ORD-10043,2023-01-18 22:00:00,Central,Benin City,Groceries,Rep_23,In-Store,BNPL,385.27,2,0.05,67.6,22.0,Male,0,5.0,732.01,221.82
ORD-10044,2023-01-19 08:00:00,South,Kaduna,Sports,Rep_14,Online,Cash,261.1,9,0.0,102.27,34.0,Female,0,4.0,2349.9,522.35
ORD-10045,2023-01-19 18:00:00,East,Ibadan,Furniture,Rep_10,Online,Card,191.13,5,0.0,777.51,31.0,Male,1,5.0,955.65,96.03
ORD-10046,2023-01-20 04:00:00,South,Abuja,Groceries,Rep_12,Online,Cash,548.45,1,0.2,990.74,37.0,Female,0,5.0,438.76,158.52
ORD-10047,2023-01-20 14:00:00,East,Abuja,Clothing,Rep_06,In-Store,Cash,75.04,1,0.0,295.09,21.0,Female,0,5.0,75.04,13.48
ORD-10048,2023-01-21 00:00:00,East,Port Harcourt,Clothing,Rep_12,In-Store,Card,334.5,1,0.0,243.56,36.0,Male,0,4.0,334.5,34.76
ORD-10049,2023-01-21 10:00:00,North,Benin City,Clothing,Rep_23,Online,Transfer,294.61,13,0.15,325.45,,Unknown,0,2.0,3255.44,879.31
ORD-10050,2023-01-21 20:00:00,Central,Benin City,Electronics,Rep_14,Online,Card,102.41,9,0.1,335.27,18.0,Female,0,4.0,829.52,47.84
ORD-10051,2023-01-22 06:00:00,West,Enugu,Groceries,Rep_02,Online,Cash,1719.86,9,0.0,65.34,47.0,Female,0,2.0,15478.74,2780.38
ORD-10052,2023-01-22 16:00:00,Central,Lagos,Clothing,Rep_09,Wholesale,Card,204.01,12,0.0,405.89,21.0,Male,0,4.0,2448.12,857.47
ORD-10053,2023-01-23 02:00:00,,Ibadan,Clothing,Rep_10,In-Store,Transfer,213.01,4,0.05,210.74,38.0,Unknown,0,,809.44,335.99
